f,response
2.45470891568502e+07,-4.60413153516014e+00
2.51188643150957e+07,-4.74969456027785e+00
2.57039578276885e+07,-4.91223030811081e+00
2.63026799189537e+07,-5.09305160995272e+00
2.69153480392691e+07,-5.29342184461775e+00
2.75422870333816e+07,-5.51452094866429e+00
2.81838293126444e+07,-5.75741051416045e+00
2.88403150312660e+07,-6.02300004397270e+00
2.95120922666637e+07,-6.31201665981302e+00
3.01995172040200e+07,-6.62498054781482e+00
3.09029543251358e+07,-6.96218814298850e+00
3.16227766016837e+07,-7.32370450633712e+00
3.23593656929627e+07,-7.70936559655201e+00
3.31131121482590e+07,-8.11879028469684e+00
3.38844156139201e+07,-8.55140112995788e+00
3.46736850452530e+07,-9.00645224714088e+00
3.54813389233574e+07,-9.48306214107803e+00
3.63078054770100e+07,-9.98024920106722e+00
3.71535229097171e+07,-1.04969676308225e+01
3.80189396320560e+07,-1.10321418856142e+01
3.89045144994279e+07,-1.15846981233999e+01
3.98107170553496e+07,-1.21535916704809e+01
4.07380277804111e+07,-1.27378299844070e+01
4.16869383470334e+07,-1.33364910168771e+01
4.26579518801591e+07,-1.39487372088995e+01
4.36515832240164e+07,-1.45738255811575e+01
4.46683592150961e+07,-1.52111145209479e+01
4.57088189614873e+07,-1.58600679287874e+01
4.67735141287196e+07,-1.65202573921919e+01
4.78630092322636e+07,-1.71913630205879e+01
4.89778819368444e+07,-1.78731735208475e+01
5.01187233627270e+07,-1.85655860312552e+01
5.12861383991363e+07,-1.92686061730878e+01
5.24807460249770e+07,-1.99823487307451e+01
5.37031796370251e+07,-2.07070393386296e+01
5.49540873857622e+07,-2.14430175395254e+01
5.62341325190347e+07,-2.21907415883543e+01
5.75439937337155e+07,-2.29507954105721e+01
5.88843655355586e+07,-2.37238981910208e+01
6.02559586074355e+07,-2.45109171740035e+01
6.16595001861480e+07,-2.53128844095456e+01
6.30957344480191e+07,-2.61310184006268e+01
6.45654229034653e+07,-2.69667519163722e+01
6.60693448007593e+07,-2.78217676744237e+01
6.76082975391979e+07,-2.86980442197557e+01
6.91830970918933e+07,-2.95979152269815e+01
7.07945784384135e+07,-3.05241467712195e+01
7.24435960074987e+07,-3.14800390793024e+01
7.41310241300914e+07,-3.24695622703249e+01
7.58577575029180e+07,-3.34975402720200e+01
7.76247116628688e+07,-3.45699045974202e+01
7.94328234724278e+07,-3.56940520555506e+01
8.12830516164096e+07,-3.68793616623660e+01
8.31763771102667e+07,-3.81379637438853e+01
8.51138038202373e+07,-3.94859245780476e+01
8.70963589956077e+07,-4.09451485460568e+01
8.91250938133741e+07,-4.25465916055387e+01
9.12010839355906e+07,-4.43360464694413e+01
9.33254300796987e+07,-4.63854478415308e+01
9.54992586021431e+07,-4.88175428384000e+01
9.77237220955806e+07,-5.18689453563244e+01
9.99999999999995e+07,-5.60972481195343e+01
1.02329299228075e+08,-6.34978410226386e+01
1.04712854805089e+08,-7.63536217344109e+01
1.07151930523760e+08,-6.09112910410953e+01
1.09647819614318e+08,-5.60190255339424e+01
1.12201845430196e+08,-5.31510701316057e+01
1.14815362149688e+08,-5.11785796705723e+01
1.17489755493952e+08,-4.97133390165114e+01
1.20226443461741e+08,-4.85748499151911e+01
1.23026877081237e+08,-4.76643467656609e+01
1.25892541179416e+08,-4.69218628202967e+01
1.28824955169313e+08,-4.63082419489636e+01
1.31825673855640e+08,-4.57965006229269e+01
1.34896288259165e+08,-4.53672533352082e+01
1.38038426460288e+08,-4.50061036571025e+01
1.41253754462275e+08,-4.47020671308038e+01
1.44543977074592e+08,-4.44465719845930e+01
1.47910838816820e+08,-4.42328008791424e+01
1.51356124843620e+08,-4.40552429010120e+01
1.54881661891247e+08,-4.39093800347051e+01
1.58489319246110e+08,-4.37914624039683e+01
1.62181009735892e+08,-4.36983437313784e+01
1.65958690743755e+08,-4.36273586357341e+01
1.69824365246173e+08,-4.35762296164725e+01
1.73780082874937e+08,-4.35429955019901e+01
1.77827941003891e+08,-4.35259556792737e+01
1.81970085860997e+08,-4.35236261035298e+01
1.86208713666286e+08,-4.35347042222762e+01
1.90546071796324e+08,-4.35580407299921e+01
1.94984459975803e+08,-4.35926166165134e+01
1.99526231496887e+08,-4.36375243612091e+01
2.00000000000000e+08,-4.36427036353657e+01
